backend,pipeline,scheduler,n_pods_batch,n_nodes_or_atoms,n_shots,max_iter,pod_name,seed,pod_wall_s,batch_wall_s,n_iterations,total_qpu_wait_s,total_circuit_time_s,avg_qpu_wait_s,avg_circuit_time_s,approximation_ratio,converged,total_elapsed_s,timestamp
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-0,100,50.0,59.404,0,0,0,,,0.66,False,31.618,2026-06-18T04:51:34.328620+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-1,101,47.0,59.404,0,0,0,,,0.520667,False,30.436,2026-06-18T04:51:34.476412+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-2,102,46.0,59.404,0,0,0,,,0.588,False,30.678,2026-06-18T04:51:34.624143+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-3,103,52.0,59.404,0,0,0,,,0.652,False,31.774,2026-06-18T04:51:34.763314+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-4,104,47.0,59.404,0,0,0,,,0.642667,False,30.818,2026-06-18T04:51:34.905324+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-5,105,48.0,59.404,0,0,0,,,0.653333,False,30.734,2026-06-18T04:51:35.044616+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-6,106,50.0,59.404,0,0,0,,,0.639333,False,32.72,2026-06-18T04:51:35.184135+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-7,107,47.0,59.404,0,0,0,,,0.643333,False,30.85,2026-06-18T04:51:35.323852+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-8,108,49.0,59.404,0,0,0,,,0.666667,False,30.98,2026-06-18T04:51:35.461151+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-9,109,46.0,59.404,0,0,0,,,0.513333,False,29.958,2026-06-18T04:51:35.601330+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-10,110,50.0,59.404,0,0,0,,,0.670667,False,32.465,2026-06-18T04:51:35.742977+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-11,111,47.0,59.404,0,0,0,,,0.586667,False,30.732,2026-06-18T04:51:35.880055+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-12,112,50.0,59.404,0,0,0,,,0.576667,False,32.641,2026-06-18T04:51:36.024780+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-13,113,48.0,59.404,0,0,0,,,0.666,False,32.137,2026-06-18T04:51:36.162506+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-14,114,49.0,59.404,0,0,0,,,0.611333,False,31.909,2026-06-18T04:51:36.304169+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-15,115,49.0,59.404,0,0,0,,,0.645333,False,32.056,2026-06-18T04:51:36.443121+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-16,116,51.0,59.404,0,0,0,,,0.624667,False,33.411,2026-06-18T04:51:36.590630+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-17,117,50.0,59.404,0,0,0,,,0.484,False,31.286,2026-06-18T04:51:36.725371+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-18,118,50.0,59.404,0,0,0,,,0.584,False,31.307,2026-06-18T04:51:36.864274+00:00
sv1,gate,default,20,10,100,5,qaoa-exp-sv1-n20-q10-19,119,50.0,59.404,0,0,0,,,0.610667,False,32.808,2026-06-18T04:51:37.005411+00:00
